"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@rubesann Salud Ruben ! <ed><a0><bc><ed><bd><bb>",FALSE,1,"rubesann",2017-11-02 07:06:50,FALSE,"925923837438345216","925982514417754112","277537626","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"2","@Al12loin @AudreyPirault Bien jou<c3><a9> ! <ed><a0><bd><ed><b8><8f>",FALSE,0,"Al12loin",2017-11-02 02:57:19,FALSE,"924932449490137089","925919721656025089","294846533","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"3","The #DayoftheDead the Dead is about celebrating the lives of those who have passed on, with treats they most enjoye<e2><80><a6> https://t.co/LwoaqAFHGk",FALSE,6,NA,2017-11-02 01:52:53,TRUE,NA,"925903510150901760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",1,FALSE,FALSE,NA,NA
"4","@bencoshi @Remsanddams Tsingtao a tout moment !",FALSE,3,"bencoshi",2017-11-01 09:57:55,FALSE,"919857259500449792","925663184245198848","197195208","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA
"5","@MoveEat <ed><a0><bd><ed><b8><8f>",FALSE,0,"MoveEat",2017-11-01 09:57:30,FALSE,"923052440076931072","925663078976507904","131871433","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"6","@franckstassi @Malteurop <ed><a0><bd><ed><b8><ae>",FALSE,0,"franckstassi",2017-11-01 09:57:05,FALSE,"923436509075853312","925662971661037569","116535904","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"7","@Alexis09781005 @agatheauproux Sant<c3><a9> !",FALSE,0,"Alexis09781005",2017-11-01 09:56:35,FALSE,"923911109001859074","925662849476722688","744773744867016704","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"8","@aaronasas Siempre cae bien una Tsingtao despu<c3><a9>s de un d<c3><ad>a pesado!",FALSE,0,"aaronasas",2017-11-01 08:07:37,FALSE,"923545770023968770","925635426202914816","1523661289","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"9","@alvarezmsc Tsingtao contiene 20 ppm de gluten, lo que significa que es adecuado para celiacos. Sin embargo, te rec<e2><80><a6> https://t.co/OPznTxd7QP",FALSE,0,"alvarezmsc",2017-11-01 08:02:42,TRUE,"925474996088115201","925634189180985344","382644933","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"10","@whwy24 Ultimate fear! <ed><a0><bd><ed><b8><a9><ed><a0><bd><ed><b8><a9>",FALSE,0,"whwy24",2017-10-31 01:58:23,FALSE,"924924082696499200","925180117437026306","1131550550","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"11","@sianosborne1 Cheers to you Sian for all your hard work!  <ed><a0><bc><ed><bd><bb><e2><98><ba><ef><b8><8f>",FALSE,0,"sianosborne1",2017-10-31 01:54:24,FALSE,"925019623665184768","925179116311195648","102799614","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
